Ti-200-24hre-1 (1st measurement),,Ti-200-24hre-1 (2nd measurement),,Ti-200-24hre-2 (1st measurement),
s,V,s,V,s,V
447,-0.001921892,447,-0.140205324,447,-0.042141438
448,-0.001921892,448,-0.140673995,448,-0.042047381
449,-0.001921892,449,-0.141049147,449,-0.042047381
450,-0.001921892,450,-0.141236544,450,-0.041953683
451,-0.125298858,451,-0.272488654,451,-0.041859984
452,-0.126142502,452,-0.271551132,452,-0.041766286
453,-0.126423776,453,-0.270332336,453,-0.180330992
454,-0.126611352,454,-0.269300938,454,-0.180705965
455,-0.126798928,455,-0.268457294,455,-0.181174636
456,-0.126798928,456,-0.267238498,456,-0.181080937
457,-0.126798928,457,-0.266019702,457,-0.180705965
458,-0.126611352,458,-0.265269756,458,-0.180330992
459,-0.126517653,459,-0.264144659,459,-0.180237114
460,-0.126330078,460,-0.263019741,460,-0.180049717
461,-0.126236379,461,-0.262363493,461,-0.179580867
462,-0.126142502,462,-0.261238396,462,-0.17892462
463,-0.126048803,463,-0.260394573,463,-0.178643346
464,-0.125955105,464,-0.259644628,464,-0.178549647
465,-0.125767529,465,-0.25851953,465,-0.1778934
466,-0.125486255,466,-0.25795716,466,-0.177330852
467,-0.12520498,467,-0.256832063,467,-0.177143276
468,-0.125017583,468,-0.256363392,468,-0.176955879
469,-0.124923885,469,-0.255331993,469,-0.176299632
470,-0.124830008,470,-0.254769623,470,-0.175737083
471,-0.124736309,471,-0.253738225,471,-0.175643384
472,-0.124736309,472,-0.253269553,472,-0.17536211
473,-0.124642611,473,-0.252238333,473,-0.174705863
474,-0.124548733,474,-0.251863182,474,-0.174237013
475,-0.124548733,475,-0.25092566,475,-0.174143314
476,-0.124455035,476,-0.250456989,476,-0.173955739
